"section","fa_order","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","cs.sg form","pl.abs form","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","prioritized meaning","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN","BHVB","BiblicalHebrewVocabularyBuilderSub-Section","Occurrences","old BiblicalHebrewVocabularyBuilderSection","old BiblicalHebrewVocabularyBuilderSub-Section"
"sec1617",380,116,6813,"QDWC/","קָדֹושׁ ",,,,,,,", , , ",,"adjv",,"holy, separated",,,,"Mitchel_Sec3.F (120-112)",,"holy, separated","holy, separated",,"done",,,,,,,,,,,,,,,,,"Section_no03","G",116,"Section no02","G"
"sec1602",381,115,207,">WR/","אֹור I","אֹור","אֹורִים",,,,,", , , ",,"subs",,"light",,,,"Mitchel_Sec3.E (133-121)",,"light","light",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",115,"Section no02","H"
"sec1612",383,115,4823,"MCPXT/","מִשְׁפַּחַת ","מִשְׁפַּחַת",,,,,,", , , ",,"subs",,"clan",,,,"Mitchel_Sec2.C (309-270)",,"(extended) family; clan","(extended) family; clan",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",115,"Section no02","H"
"sec1603",386,114,259,">XWT/","אָחֹות ","אֲחֹות",,,,,,", , , ",,"subs",,"sister",,,,"Mitchel_Sec3.F (120-112)",,"sister","sister",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",114,"Section no02","H"
"sec1610",388,114,3931,"MGRC/","מִגְרָשׁ ","מִגְרַשׁ",,,,,,", , , ",,"subs",,"pasture",,,,"Mitchel_Sec3.F (120-112)",,"pasture, untilled ground; produce","pasture, untilled ground; produce",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",114,"Section no02","H"
"sec1624",389,113,8137,"CQR/","שֶׁקֶר ","שֶׁקֶר","שְׁקָרִים",,,,,", , , ",,"subs",,"lie",,,,"Mitchel_Sec3.F (120-112)",,"lie, falsehood, deception","lie, falsehood, deception",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",113,"Section no02","H"
"sec1605",391,112,1060,"BLT/","בֵּלֶת ","בִלְתִּי",,,,,,", , , ",,"subs",,"absence; there is not",,,,"Mitchel_Sec3.F (120-112)",,"absence; there is not","absence; there is not",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",112,"Section no02","H"
"sec1614",392,112,4923,"NGB/","נֶגֶב ","נֶגֶב",,,,,,", , , ",,"subs",,"south",,,,"Mitchel_Sec3.G (111-100)",,"the dry country; south; Negev","the dry country; south; Negev",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",112,"Section no02","H"
"sec1615",393,111,5847,"<MWD/","עַמּוּד ","עַמּוּד","עַמֻּדִים",,,,,", , , ",,"subs",,"pillar",,,,"Mitchel_Sec3.G (111-100)",,"pillar, column","pillar, column",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",111,"Section no02","H"
"sec1620",394,111,7556,"CBT/","שַׁבָּת I","שַׁבַּת","שַׁבָּתֹות",,,,,", , , ",,"subs",,"Sabbath",,,,"Mitchel_Sec3.G (111-100)",,"sabbath, rest","sabbath, rest",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",111,"Section no02","H"
"sec1616",396,110,5946,"<PR/","עָפָר I","עֲפַר",,,,,,", , , ",,"subs",,"dust, dry earth; rubbish",,,,"Mitchel_Sec3.G (111-100)",,"dust, dry earth; rubbish","dust, dry earth; rubbish",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",110,"Section no02","H"
"sec1601",397,109,84,">BCLWM/","אַבְשָׁלֹום ",,,,,,,", , , ",,"nmpr",,"Absalom",,,,"Mitchel_Sec3.G (111-100)",,"Absalom","Absalom",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",109,"Section no02","H"
"sec1622",399,109,7976,"CMRWN/","שֹׁמְרֹון I",,,,,,,", , , ",,"nmpr",,"Samaria",,,,"Mitchel_Sec3.F (120-112)",,"Samaria","Samaria",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",109,"Section no02","H"
"sec1714",400,109,3551,"KNP/","כָּנָף ","כְּנַף",,,,,,", , , ",,"subs",,"wing, end",,,,"Mitchel_Sec3.G (111-100)",,"wing, end","wing, end",,"done",,,,,,,,,,,,,,,,,"Section_no03","H",109,"Section no02","H"
"sec1619",401,109,7420,"RQ","רַק ",,,,,,,", , , ",,"advb",,"only",,,,"Mitchel_Sec3.G (111-100)",,"only","only",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",109,"Section no02","I"
"sec1710",402,108,3216,"JYXQ/","יִצְחָק ",,,,,,,", , , ",,"nmpr",,"Isaac",,,,"Mitchel_Sec3.F (120-112)",,"Isaac","Isaac",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",108,"Section no02","I"
"sec1713",405,107,3421,"KBF/","כֶּבֶשׂ ","כֶּבֶשׂ","כְּבָשִׂים",,,,,", , , ",,"subs",,"young ram",,,,"Mitchel_Sec3.E (133-121)",,"young ram","young ram",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",107,"Section no02","I"
"sec1720",406,106,5848,"<MWN/","עַמֹּון ",,,,,,,", , , ",,"nmpr",,"Ammon",,,,"Mitchel_Sec3.E (133-121)",,"Ammon","Ammon",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",106,"Section no02","I"
"sec1705",407,106,1092,"B<D/","בַּעַד ","בְּעַד",,,,,,", , , ",,"subs",,"distance; behind; for the benefit of",,,,"Mitchel_Sec3.G (111-100)",,"for (the benefit of), behind, through (prep); distance (n)","for (the benefit of), behind, through (prep); distance (n)",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",106,"Section no02","I"
"sec1215",410,105,4259,"ML>KH/","מְלָאכָה ",,,,,,,", , , ",,"subs",,"work, occupation, task",,,,"Mitchel_Sec3.B (174-160)",,"work, occupation, task","work, occupation, task",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",105,"Section no02","I"
"sec1711",412,104,3262,"JRB<M/","יָרָבְעָם ",,,,,,,", , , ",,"nmpr",,"Jeroboam",,,,"Mitchel_Sec3.G (111-100)",,"Jeroboam","Jeroboam",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",104,"Section no02","I"
"sec1726",414,104,8400,"TMJD/","תָּמִיד ",,,,,,,", , , ",,"subs",,"continually",,,,"Mitchel_Sec3.G (111-100)",,"continuance (n); continually, regularly (adv)","continuance (n); continually, regularly (adv)",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",104,"Section no02","I"
"sec1708",415,104,2602,"XQH/","חֻקָּה ","חֻקַּת",,,,,,", , , ",,"subs",,"statute, custom",,,,"Mitchel_Sec3.G (111-100)",,"statute, prescription; custom","statute, prescription; custom",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",104,"Section no02","I"
"sec1704",416,103,1061,"BMH/","בָּמָה ",,"בָּמֹות",,,,,", , , ",,"subs",,"high place",,,,"Mitchel_Sec3.G (111-100)",,"high place, funerary installation","high place, funerary installation",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",103,"Section no02","I"
"sec1717",418,103,4633,"MR>H/","מַרְאֶה I","מַרְאֵה",,,,,,", , , ",,"subs",,"sight, appearance, vision",,,,"Mitchel_Sec3.G (111-100)",,"sight, appearance, vision","sight, appearance, vision",,"done",,,,,,,,,,,,,,,,,"Section_no03","I",103,"Section no02","I"
"sec1716",421,101,4459,"M<V/","מְעַט ","מְעַט","מְעַטִּים",,,,,", , , ",,"subs",,"fewness; a few",,,,"Mitchel_Sec4.A (99-93)",,"(a) few (adj); a little (n)","(a) few (adj); a little (n)",,"done",,,,,,,,,,,,,,,,,"Section_no03","A",101,"Section no02","J"
"sec1723",422,101,7336,"R<B/","רָעָב I",,,,,,,", , , ",,"subs",,"hunger, famine",,,,"Mitchel_Sec3.G (111-100)",,"hunger, famine","hunger, famine",,"done",,,,,,,,,,,,,,,,,"Section_no03","A",101,"Section no02","J"
"sec1722",423,101,7213,"RXB=/","רֹחַב II","רֹחַב",,,,,,", , , ",,"subs",,"breadth, width",,,,"Mitchel_Sec3.G (111-100)",,"breadth, width","breadth, width",,"done",,,,,,,,,,,,,,,,,"Section_no03","A",101,"Section no02","J"
"sec1701",424,100,109,">DWM/","אֱדֹום ",,,,,,,", , , ",,"nmpr",,"Edom",,,,"Mitchel_Sec3.F (120-112)",,"Edom","Edom",,"done",,,,,,,,,,,,,,,,,"Section_no03","A",100,"Section no02","J"
"sec1709",425,100,3169,"J<N/","יַעַן I","יַעַן",,,,,,", , , ",,"subs",,"motive; on account of",,,,"Mitchel_Sec4.A (99-93)",,"because (conj); on account of (prep)","because (conj); on account of (prep)",,"done",,,,,,,,,,,,,,,,,"Section_no03","A",100,"Section no02","J"
"sec1707",426,100,2313,"XJH/","חַיָּה I","חַֽיְתֹו","חַיֹּות",,,,,", , , ",,"subs",,"beast, wild animals, living being",,,,"Mitchel_Sec4.A (99-93)",,"beast, wild animals, living being","beast, wild animals, living being",,"done",,,,,,,,,,,,,,,,,"Section_no03","A",100,"Section no02","J"
,427,99,5651,"<WR=/","עֹור II","עֹור","עֹרֹת",,,,,", , , ",,"subs",,"skin; leather",,,,"Mitchel_Sec4.A (99-93)",,"skin; leather","skin; leather",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",99,"Section no02","J"
,428,99,1903,"HN","הֵן ",,,,,,,", , , ",,"intj",,"behold",,,,"Mitchel_Sec3.G (111-100)",,"behold (intj)","behold (intj)",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",99,"Section no02","J"
,429,98,7519,"CBJ<J/","שְׁבִיעִי ",,,,,,,", , , ",,"adjv",,"seventh",,,,"Mitchel_Sec4.A (99-93)",,"seventh","seventh",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",98,"Section no02","J"
,430,97,6094,"<FW/","עֵשָׂו ",,,,,,,", , , ",,"nmpr",,"Esau",,,,"Mitchel_Sec4.A (99-93)",,"Esau","Esau",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",97,"Section no02","J"
,434,96,3057,"JXDW","יַחְדָּו ",,,,,,,", , , ",,"advb",,"together",,,,"Mitchel_Sec3.D (143-134)",,"together, at the same time","together, at the same time",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",96,"Section no02","J"
,435,96,2795,"VHR/","טָהֹר I",,,,,,,", , , ",,"adjv",,"clean, pure",,,,"Mitchel_Sec4.A (99-93)",,"clean, pure","clean, pure",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",96,"Section no02","J"
,436,96,2438,"XMWR/","חֲמֹור I","חֲמֹר","חֲמֹרִים",,,,,", , , ",,"subs",,"he-ass",,,,"Mitchel_Sec4.A (99-93)",,"(male) ass","(male) ass",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",96,"Section no02","J"
,437,95,720,">RK=/","אֹרֶךְ II","אֹרֶךְ",,,,,,", , , ",,"subs",,"length",,,,"Mitchel_Sec4.A (99-93)",,"length","length",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",95,"Section no02","J"
,438,95,3382,"JTR/","יֶתֶר I","יֶתֶר",,,,,,", , , ",,"subs",,"remainder, abundance",,,,"Mitchel_Sec4.A (99-93)",,"remainder, abundance","remainder, abundance",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",95,"Section no02","J"
,439,94,7923,"FMXH/","שִׂמְחָה ","שִׂמְחַת","שְׂמָחֹות",,,,,", , , ",,"subs",,"joy",,,,"Mitchel_Sec4.A (99-93)",,"joy, rejoicing","joy, rejoicing",,"done",,,,,,,,,,,,,,,,,"Section_no04","A",94,"Section no02","J"
,443,94,2382,"XLL/","חָלָל ",,,,,,,", , , ",,"adjv",,"pierced, slain, deflorated",,,,"Mitchel_Sec4.A (99-93)",,"slain (n, adj), struck dead","slain (n, adj), struck dead",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",94,"Section no02","K"
,444,93,247,">X>B/","אַחְאָב ",,,,,,,", , , ",,"nmpr",,"Ahab",,,,"Mitchel_Sec4.A (99-93)",,"Ahab","Ahab",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",93,"Section no02","K"
,445,93,1757,"D<T/","דַּעַת ","דַּעַת",,,,,,", , , ",,"subs",,"knowledge, cognition",,,,"Mitchel_Sec4.B (92-86)",,"knowledge, cognition","knowledge, cognition",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",93,"Section no02","K"
,446,93,3547,"KN<N/","כְּנַעַן ",,,,,,,", , , ",,"nmpr",,"Canaan",,,,"Mitchel_Sec3.B (174-160)",,"Canaan","Canaan",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",93,"Section no02","K"
"sec1611",447,93,4329,"MMLKH/","מַמְלָכָה ","מַמְלֶכַת","מַּמְלָכֹות",,,,,", , , ",,"subs",,"kingdom, dominion, reign",,,,"Mitchel_Sec3.F (120-112)",,"kingdom, dominion, reign","kingdom, dominion, reign",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",93,"Section no02","K"
,448,93,6461,"PC</","פֶּשַׁע ","פֶּשַׁע","פְּשָׁעִים",,,,,", , , ",,"subs",,"rebellion; transgression",,,,"Mitchel_Sec4.A (99-93)",,"rebellion, revolt, transgression","rebellion, revolt, transgression",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",93,"Section no02","K"
,450,92,1540,"GR/","גֵּר I",,"גֵרִים",,,,,", , , ",,"subs",,"sojourner",,,,"Mitchel_Sec4.A (99-93)",,"stranger","stranger",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",92,"Section no02","K"
,451,92,3633,"KRM/","כֶּרֶם I","כֶרֶם","כְּרָמִים",,,,,", , , ",,"subs",,"vineyard",,,,"Mitchel_Sec4.A (99-93)",,"vineyard","vineyard",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",92,"Section no02","K"
,452,92,6991,"QYH=/","קָצֶה II","קְצֵה",,,,,,", , , ",,"subs",,"edge, end, border",,,,"Mitchel_Sec4.B (92-86)",,"edge, end, border, extremity","edge, end, border, extremity",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",92,"Section no02","K"
,453,92,2353,"XLB=/","חֵלֶב II","חֵלֶב","חֲלָבִים",,,,,", , , ",,"subs",,"fat; the best",,,,"Mitchel_Sec4.B (92-86)",,"fat; the best","fat; the best",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",92,"Section no02","K"
,455,91,3622,"KRWB/","כְּרוּב I","כְּרוּב","כְּרֻבִים",,,,,", , , ",,"subs",,"cherub",,,,"Mitchel_Sec4.B (92-86)",,"cherub","cherub",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",91,"Section no02","K"
,456,91,4297,"MLKWT/","מַלְכוּת ","מַלְכוּת","מַלְכֻיֹות",,,,,", , , ",,"subs",,"royal power, reign, kingdom",,,,"Mitchel_Sec4.B (92-86)",,"dominion; kingdom","dominion; kingdom",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",91,"Section no02","K"
,457,91,8401,"TMJM/","תָּמִים I",,,,,,,", , , ",,"adjv",,"complete, faultless",,,,"Mitchel_Sec4.B (92-86)",,"whole, entire, complete; blameless","whole, entire, complete; blameless",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",91,"Section no02","K"
,458,91,2116,"ZRW</","זְרֹועַ I","זְרֹעַ","זְרֹעֹות",,,,,", , , ",,"subs",,"arm, forearm",,,,"Mitchel_Sec4.B (92-86)",,"arm, forearm","arm, forearm",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",91,"Section no02","K"
,459,90,5538,"<BR/","עֵבֶר I","עֵבֶר",,,,,,", , , ",,"subs",,"opposite side; beyond",,,,"Mitchel_Sec4.B (92-86)",,"side, region; opposite side; beyond","side, region; opposite side; beyond",,"done",,,,,,,,,,,,,,,,,"Section_no04","B",90,"Section no02","K"
,461,89,3098,"JLD/","יֶלֶד ","יֶלֶד","יְלָדִים",,,,,", , , ",,"subs",,"boy, male child; young one",,,,"Mitchel_Sec4.B (92-86)",,"boy; young one","boy; young one",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",89,"Section no02","L"
,463,88,8125,"CQL/","שֶׁקֶל ","שֶׁקֶל","שְׁקָלִים",,,,,", , , ",,"subs",,"shekel <measure of weight>",,,,"Mitchel_Sec4.B (92-86)",,"shekel (unit of weight)","shekel (unit of weight)",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",88,"Section no02","L"
,464,88,2835,"VM>/","טָמֵא ",,,,,,,", , , ",,"adjv",,"unclean",,,,"Mitchel_Sec4.B (92-86)",,"unclean","unclean",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",88,"Section no02","L"
,465,87,550,">MRJ/","אֱמֹרִי I",,,,,,,", , , ",,"adjv",,"Amorite",,,,"Mitchel_Sec4.B (92-86)",,"Amorite","Amorite",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",87,"Section no02","L"
,467,87,7868,"CLM/","שֶׁלֶם I","שֶׁלֶם","שְׁלָמִים",,,,,", , , ",,"subs",,"final offering",,,,"Mitchel_Sec4.B (92-86)",,"final offering, peace offering","final offering, peace offering",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",87,"Section no02","L"
,468,87,1730,"DLT/","דֶּלֶת ",,"דְּלָתֹות",,,,,", , , ",,"subs",,"door",,,,"Mitchel_Sec4.B (92-86)",,"door","door",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",87,"Section no02","L"
,469,87,6817,"QDM/","קֶדֶם ","קֶדֶם",,,,,,", , , ",,"subs",,"front; east; aforetime; ancient time",,,,"Mitchel_Sec4.B (92-86)",,"in front, east; aforetime, ancient time","in front, east; aforetime, ancient time",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",87,"Section no02","L"
,470,86,5917,"<NN/","עָנָן I","עֲנַן",,,,,,", , , ",,"subs",,"clouds, cloud-mass",,,,"Mitchel_Sec4.B (92-86)",,"clouds, cloud-mass","clouds, cloud-mass",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",86,"Section no02","L"
,471,86,5968,"<YH/","עֵצָה I","עֲצַת","עֵצֹות",,,,,", , , ",,"subs",,"counsel; plan",,,,"Mitchel_Sec4.B (92-86)",,"advice, counsel","advice, counsel",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",86,"Section no02","L"
,475,85,7227,"RXWQ/","רָחֹוק ",,,,,,,", , , ",,"adjv",,"far, remote; distance",,,,"Mitchel_Sec4.C (85-79)",,"far, distant (adj); distance (n)","far, distant (adj); distance (n)",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",85,"Section no02","L"
,476,84,1895,"HMWN/","הָמֹון ","הֲמֹון","הֲמֹונִים",,,,,", , , ",,"subs",,"commotion, tumult, multitude, crowd",,,,"Mitchel_Sec4.B (92-86)",,"tumult, turmoil, multitude","tumult, turmoil, multitude",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",84,"Section no02","L"
,477,84,2983,"JHWCPV/","יְהֹושָׁפָט ",,,,,,,", , , ",,"nmpr",,"Jehoshaphat",,,,"Mitchel_Sec4.B (92-86)",,"Jehoshaphat","Jehoshaphat",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",84,"Section no02","L"
,478,84,6161,"P>H/","פֵּאָה I","פְאַת","פֵּאֹת",,,,,", , , ",,"subs",,"side, rim, corner",,,,"Mitchel_Sec4.B (92-86)",,"side, rim, corner","side, rim, corner",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",84,"Section no02","L"
,479,83,5581,"<DWT/","עֵדוּת ","עֵדוּת","עֵדֹת",,,,,", , , ",,"subs",,"testimony, reminder, stipulation",,,,"Mitchel_Sec4.C (85-79)",,"warning sign, reminder; percept, commandment","warning sign, reminder; percept, commandment",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",83,"Section no02","L"
,480,83,7859,"CLJCJ/","שְׁלִישִׁי ",,,,,,,", , , ",,"adjv",,"third",,,,"Mitchel_Sec3.G (111-100)",,"third; one-third","third; one-third",,"done",,,,,,,,,,,,,,,,,"Section_no04","C",83,"Section no02","L"
,483,82,2962,"JHWDJ/","יְהוּדִי I",,,,,,,", , , ",,"adjv",,"Judean; Jew",,,,"Mitchel_Sec1.C (999-730)",,"Judean; Jew","Judean; Jew",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",82,"Section no03","A"
,484,82,2974,"JHWNTN/","יְהֹונָתָן ",,,,,,,", , , ",,"nmpr",,"Jehonathan",,,,"Mitchel_Sec3.E (133-121)",,"Jonathan","Jonathan",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",82,"Section no03","A"
,485,82,6193,"PH","פֹּה ",,,,,,,", , , ",,"advb",,"here; hither",,,,"Mitchel_Sec4.F (70-66)",,"here; hither","here; hither",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",82,"Section no03","A"
,487,82,2041,"ZKR=/","זָכָר II",,,,,,,", , , ",,"adjv",,"male",,,,"Mitchel_Sec4.C (85-79)",,"male","male",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",82,"Section no03","A"
,493,80,1867,"HJKL/","הֵיכָל ","הֵיכַל","הֵֽיכָלֹות",,,,,", , , ",,"subs",,"palace; temple",,,,"Mitchel_Sec4.C (85-79)",,"palace; temple","palace; temple",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",80,"Section no03","A"
,495,80,3655,"KFDJM/","כַּשְׂדִּים ",,,,,,,", , , ",,"nmpr",,"Chaldeans",,,,"Mitchel_Sec4.B (92-86)",,"Chaldeans","Chaldeans",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",80,"Section no03","A"
,499,80,7026,"QRBN/","קָרְבָּן I","קָרְבַּן",,,,,,", , , ",,"subs",,"offering",,,,"Mitchel_Sec4.C (85-79)",,"offering, gift","offering, gift",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",80,"Section no03","A"
,500,80,2727,"XCK/","חֹשֶׁךְ I","חֹֽשֶׁךְ",,,,,,", , , ",,"subs",,"darkness",,,,"Mitchel_Sec4.C (85-79)",,"darkness","darkness",,"done",,,,,,,,,,,,,,,,,"Section_no04","D",80,"Section no03","A"
,502,79,219,">WT/","אֹות ","אֹֽות","אֹתֹת",,,,,", , , ",,"subs",,"sign",,,,"Mitchel_Sec4.C (85-79)",,"sign","sign",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",79,"Section no03","B"
,503,79,206,">WYR/","אֹוצָר ","אֹוצַר","אֹֽוצָרֹת",,,,,", , , ",,"subs",,"supply; treasure; storehouse",,,,"Mitchel_Sec4.C (85-79)",,"supply, store-house, treasure","supply, store-house, treasure",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",79,"Section no03","B"
,504,79,7669,"CWR/","שֹׁור I","שֹֽׁור","שְׁוָרִים",,,,,", , , ",,"subs",,"head of cattle; bull",,,,"Mitchel_Sec4.C (85-79)",,"bull(ock), steer","bull(ock), steer",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",79,"Section no03","B"
,505,79,1320,"GB<H/","גִּבְעָה I","גִּבְעַת","גְּבָעֹות",,,,,", , , ",,"subs",,"hill",,,,"Mitchel_Sec4.G (65-63)",,"hill; (cultic) high place","hill; (cultic) high place",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",79,"Section no03","B"
,506,78,195,">WN=/","אָוֶן II",,,,,,,", , , ",,"subs",,"misery; wickedness",,,,"Mitchel_Sec4.C (85-79)",,"wickedness, iniquity","wickedness, iniquity",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",78,"Section no03","B"
,507,78,3330,"JCW<H/","יְשׁוּעָה ","יְשׁוּעַת","יְשׁוּעֹות",,,,,", , , ",,"subs",,"help, salvation",,,,"Mitchel_Sec4.D (78-75)",,"salvation, deliverance, help","salvation, deliverance, help",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",78,"Section no03","B"
,508,78,4811,"MCMRT/","מִשְׁמֶרֶת ","מִשְׁמֶרֶת","מִשְׁמָרֹֽות",,,,,", , , ",,"subs",,"guard; service",,,,"Mitchel_Sec4.D (78-75)",,"guard, obligation, service","guard, obligation, service",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",78,"Section no03","B"
,509,78,4935,"NG</","נֶגַע ","נֶגַע","נְגָעִים",,,,,", , , ",,"subs",,"stroke, plague, mark",,,,"Mitchel_Sec4.D (78-75)",,"blow, assault; plague","blow, assault; plague",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",78,"Section no03","B"
,512,78,8527,"TC</","תֵּשַׁע ","תְּשַׁע","תִּשְׁעִים",,,,,", , , ",,"subs",,"nine",,,,"Mitchel_Sec4.D (78-75)",,"nine","nine",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",78,"Section no03","B"
,513,77,5663,"<Z/","עֹז I","עֹז",,,,,,", , , ",,"subs",,"strength, power, might",,,,"Mitchel_Sec4.A (99-93)",,"strength, power, might","strength, power, might",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",77,"Section no03","B"
,514,77,1413,"GWRL/","גֹּורָל ","גֹּרַל","גֹּורָלֹות",,,,,", , , ",,"subs",,"lot",,,,"Mitchel_Sec4.D (78-75)",,"lot; allotment","lot; allotment",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",77,"Section no03","B"
,516,77,8464,"TPLH/","תְּפִלָּה I","תְּפִלַּת",,,,,,", , , ",,"subs",,"prayer",,,,"Mitchel_Sec4.D (78-75)",,"prayer","prayer",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",77,"Section no03","B"
,519,76,1208,"BRZL/","בַּרְזֶל ",,,,,,,", , , ",,"subs",,"iron",,,,"Mitchel_Sec4.D (78-75)",,"iron","iron",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",76,"Section no03","B"
,520,76,7763,"CJR/","שִׁיר ","שִׁיר","שִׁרִים",,,,,", , , ",,"subs",,"song",,,,"Mitchel_Sec4.B (92-86)",,"song","song",,"done",,,,,,,,,,,,,,,,,"Section_no04","E",76,"Section no03","B"
,521,76,4613,"MQNH/","מִקְנֶה I","מִקְנֵֽה",,,,,,", , , ",,"subs",,"purchase, possession, cattle",,,,"Mitchel_Sec4.D (78-75)",,"possession (of land, cattle)","possession (of land, cattle)",,"done",,,,,,,,,,,,,,,,,"Section_no04","F",76,"Section no03","C"
,522,76,7095,"QCT/","קֶשֶׁת I","קֶשֶׁת","קְשָׁתֹות",,,,,", , , ",,"subs",,"bow",,,,"Mitchel_Sec4.D (78-75)",,"bow (weapon); (metaphorically) rainbow","bow (weapon); (metaphorically) rainbow",,"done",,,,,,,,,,,,,,,,,"Section_no04","F",76,"Section no03","C"
,523,76,7032,"QRWB/","קָרֹוב ",,,,,,,", , , ",,"adjv",,"near",,,,"Mitchel_Sec4.D (78-75)",,"near, imminent","near, imminent",,"done",,,,,,,,,,,,,,,,,"Section_no04","F",76,"Section no03","C"
,524,76,8495,"TRWMH/","תְּרוּמָה ","תְּרוּמַת","תְרוּמֹת",,,,,", , , ",,"subs",,"contribution",,,,"Mitchel_Sec4.D (78-75)",,"tribute, contribution, heave-offering","tribute, contribution, heave-offering",,"done",,,,,,,,,,,,,,,,,"Section_no04","F",76,"Section no03","C"
